"group","d13C","d15N"
"Phytoplankton",-16.8966307182187,9.3314257949665
"Phytoplankton",-16.149577817002,9.98717918264026
"Phytoplankton",-17.2834432101996,9.89718696290931
"Phytoplankton",-16.7525355625609,9.14339373571282
"Phytoplankton",-17.520898033071,10.2370624029951
"Phytoplankton",-16.7055599564157,10.2138222276652
"Phytoplankton",-17.4948628507856,10.291704476066
"Phytoplankton",-16.3433441910224,9.59300604530873
"Phytoplankton",-17.7055750642533,10.0157816472021
"Phytoplankton",-16.8500009710056,11.1203700772777
"Phytoplankton",-16.9967333405127,9.33095235591744
"Phytoplankton",-17.3397055454156,9.65953114279002
"Phytoplankton",-16.8418188939361,9.35765480999067
"Phytoplankton",-16.6685676704485,9.65118570325749
"Phytoplankton",-16.5824977024464,10.1664571297117
"Phytoplankton",-16.5844576744874,10.2093504672681
"Phytoplankton",-16.8250770017098,10.2025104895299
"Phytoplankton",-16.6211073996434,10.2404407767759
"Phytoplankton",-17.367966253665,10.1840086129337
"Phytoplankton",-17.6435145511385,10.7258230281337
"Phytoplankton",-17.1050721748668,9.96317281080439
"Detritus",-14.1473745312876,9.42953591076262
"Detritus",-14.3858610750369,9.65626943476144
"Detritus",-14.0572857074536,10.9321331474535
"Detritus",-14.2906209649892,9.37334103279799
"Detritus",-14.17864526453,8.2007129416695
"Detritus",-15.3508347879103,9.70975075803871
"Detritus",-15.4064572875468,10.3688847204686
"Detritus",-15.1202322008404,9.90801094680187
"Detritus",-14.1820379018925,9.65866928267802
"Detritus",-14.5697143254391,9.22764593388846
"Detritus",-15.374813906295,9.13221683592786
"Detritus",-15.2432749527746,9.44571854888189
"Detritus",-15.050632890664,9.47625667664854
"Detritus",-14.7745110904832,9.30908084455295
"Detritus",-14.79025018053,9.25120325258517
"Detritus",-14.1824528808057,9.25519205832047
"Detritus",-14.0803464284558,10.3043916068687
"Detritus",-14.5823826347327,10.154951078893
"Detritus",-14.8346774135091,10.1500269152765
"Detritus",-15.6867189801386,9.78094300052609
"Detritus",-14.056950999287,9.9848430195256
"Detritus",-14.7906886121876,10.5331455170408
"Detritus",-14.7051187956388,9.0993082268917
"Detritus",-15.6921701609919,9.83903512012623
"Detritus",-15.4558512856415,9.47016854816003
"Detritus",-15.1139394285757,9.23178665651177
"Detritus",-14.6531483873156,10.0315147655963
"Detritus",-14.0183171774748,9.93799308262867
"Detritus",-14.4626819063282,9.05073147786029
"Detritus",-14.929569848848,8.78384169790046
